First_Name,Last_Name,Room_Type,Smoking,Check_in_Date,Check_out_Date,Days,Number_of_Guests,Number_of_Adults,Shuttle_Service,Pick_up_Location,Pick_up_Date,Pick_up_Time,Lease_Pocket_Wifi_($5),Total_Amount,State_or_Province,Postal_or_Zip Code,Street_Address,City,Street Address Line 2,Email,Mobile,Home,Notes
Proma,Mondal,Queen ($200),yes,11-01-2021,11-01-2021,3,1,1,Yes,LAX,10-27-2020,14:30,Yes,$ 505,FL,32810,901 Stoneybrook Road,Orlando,,tamara@example.com,(456) 789-3756,(289) 745-9024,
Tamala,Grillo,Suite ($500),Yes,11-01-2021,11-08-2021,7,2,3,No,LAX,10-28-2020,07:00,No,$ 420,CA,94111,111 Pine Street,San Francisco,Suite 1815,john@example.com,(453) 534-6757,(868) 545-6468,
John,Smith,King ($210),No,11-02-2021,11-04-2021,3,2,3,Yes,LAX,12-16-2020,02:30,Yes,$ 840,NJ,8033,533 Lee Avenue,Haddonfiel,,joseph@example.com,(555) 555-5555,(555) 555-5555,
Joseph,Hall,Single ($100),No,11-03-2021,11-08-2021,5,3,3,Yes,LAX,11-25-2019,13:30,Yes,$860,ME,4493,597 Fantages Way,West Enfield,,sandra@example.com,(555) 5555555,(555) 5555555,2 french bed
Sandra,Bennett,King ($210),No,11-03-2021,11-05-2021,2,3,2,Yes,LAX,12-12-2019,18:20,Yes,$1230,CA,90248,2407 Armbrester Drive Gardena,,,robertbrainard@example.com,(555) 5555555,(555) 5555555,
Robert,Brainard,Queen ($200),No,11-04-2021,11-09-2021,5,1,1,Yes,LAX,10-27-2020,14:30,Yes,$ 505,FL,32810,901 Stoneybrook Road,Orlando,,tamara@example.com,(456) 789-3756,(289) 745-9024,
Proma,Mondal,Queen ($200),yes,11-04-2021,11-06-2021,3,2,3,No,LAX,10-28-2020,07:00,No,$ 420,CA,94111,111 Pine Street,San Francisco,Suite 1815,john@example.com,(453) 534-6757,(868) 545-6468,
Tamala,Grillo,Suite ($500),Yes,11-04-2021,11-10-2021,6,2,3,Yes,LAX,12-16-2020,02:30,Yes,$ 840,NJ,8033,533 Lee Avenue,Haddonfiel,,joseph@example.com,(555) 555-5555,(555) 555-5555,
John,Smith,King ($210),No,11-05-2021,11-07-2021,2,3,3,Yes,LAX,11-25-2019,13:30,Yes,$860,ME,4493,597 Fantages Way,West Enfield,,sandra@example.com,(555) 5555555,(555) 5555555,2 french bed
Joseph,Hall,Single ($100),No,11-06-2021,11-13-2021,7,3,2,Yes,LAX,12-12-2019,18:20,Yes,$1230,CA,90248,2407 Armbrester Drive Gardena,,,robertbrainard@example.com,(555) 5555555,(555) 5555555,
Sandra,Bennett,King ($210),No,11-07-2021,11-10-2021,3,1,1,Yes,LAX,10-27-2020,14:30,Yes,$ 505,FL,32810,901 Stoneybrook Road,Orlando,,tamara@example.com,(456) 789-3756,(289) 745-9024,
Robert,Brainard,Queen ($200),No,11-08-2021,11-16-2021,8,2,3,No,LAX,10-28-2020,07:00,No,$ 420,CA,94111,111 Pine Street,San Francisco,Suite 1815,john@example.com,(453) 534-6757,(868) 545-6468,
Proma,Mondal,Queen ($200),yes,11-09-2021,11-12-2021,3,2,3,Yes,LAX,12-16-2020,02:30,Yes,$ 840,NJ,8033,533 Lee Avenue,Haddonfiel,,joseph@example.com,(555) 555-5555,(555) 555-5555,
Tamala,Grillo,Suite ($500),Yes,11-10-2021,11-12-2021,2,3,3,Yes,LAX,11-25-2019,13:30,Yes,$860,ME,4493,597 Fantages Way,West Enfield,,sandra@example.com,(555) 5555555,(555) 5555555,2 french bed
